video_id,true_label,tracking_quality,feedback_flag,tube_visible_fraction,vocal_cords_visible_fraction,epiglottis_visible_fraction,esophagus_visible_fraction,tube_to_vocal_cords_near_fraction,tube_to_vocal_cords_min_distance,tube_to_esophagus_near_fraction,tube_to_esophagus_min_distance,tube_motion_max_step,feedback_reasons
1.RG,1,0.40029542097488924,possible_airway_alignment,0.40029542097488924,0.31388478581979323,0.029542097488921712,0.706794682422452,0.0014771048744460858,0.10472582936734798,0.0,0.18239300966260202,0.2374653283062469,ET tube visible in 40.0% of indexed frames | tube near vocal cords in 0.1% of indexed frames | esophagus visible in 70.7% of indexed frames | large tube trajectory jump detected
10.MB,0,0.884652981427175,uncertain_alignment,0.4887585532746823,0.0,0.884652981427175,0.0,0.0,1.0,0.0,1.0,0.1329597726889795,ET tube visible in 48.9% of indexed frames | vocal cords rarely visible | epiglottis visible in 88.5% of indexed frames
11.MG,1,0.4029170464904284,uncertain_alignment,0.4029170464904284,0.26071103008204194,0.0036463081130355514,0.6572470373746582,0.0,0.12850763767997864,0.0,0.14791917679390726,0.12802921801690614,ET tube visible in 40.3% of indexed frames | vocal cords visible but tube does not clearly approach them | esophagus visible in 65.7% of indexed frames
12.MB,0,0.6014492753623188,uncertain_alignment,0.2566069906223359,0.6014492753623188,0.22208013640238705,0.4322250639386189,0.0,0.2586601558511973,0.0,0.16120263589720188,0.08524952567301113,ET tube visible in 25.7% of indexed frames | vocal cords visible but tube does not clearly approach them | epiglottis visible in 22.2% of indexed frames | esophagus visible in 43.2% of indexed frames
13.MB,0,0.2995135510771369,uncertain_alignment,0.28005559416261294,0.2995135510771369,0.0,0.4405837387074357,0.0,0.27357553740663987,0.0,0.2945634094031767,0.18462904198175997,ET tube visible in 28.0% of indexed frames | vocal cords visible but tube does not clearly approach them | esophagus visible in 44.1% of indexed frames
14.RG,1,0.5413625304136253,possible_airway_alignment,0.25304136253041365,0.5413625304136253,0.0,0.7822384428223844,0.0024330900243309003,0.10168373546369001,0.0,0.18122076404085166,0.11945590535822447,ET tube visible in 25.3% of indexed frames | tube near vocal cords in 0.2% of indexed frames | esophagus visible in 78.2% of indexed frames
15.LB,0,0.5162738496071829,uncertain_alignment,0.43546576879910215,0.5162738496071829,0.011784511784511785,0.6846240179573513,0.0,0.21729778977277947,0.0,0.1750520525193586,0.1794240212404923,ET tube visible in 43.5% of indexed frames | vocal cords visible but tube does not clearly approach them | esophagus visible in 68.5% of indexed frames
16.RB,0,0.5862492326580724,uncertain_alignment,0.5862492326580724,0.19705340699815838,0.0,0.20135052179251076,0.0,1.0,0.0,1.0,0.10578822737057648,ET tube visible in 58.6% of indexed frames | vocal cords visible but tube does not clearly approach them | esophagus visible in 20.1% of indexed frames
17.RB,0,0.6611418047882136,esophagus_risk,0.6427255985267035,0.6611418047882136,0.1151012891344383,0.42265193370165743,0.001841620626151013,0.10209224201834488,0.06721915285451197,0.05735638599798841,0.1459186105258143,ET tube visible in 64.3% of indexed frames | tube near vocal cords in 0.2% of indexed frames | epiglottis visible in 11.5% of indexed frames | tube near esophagus in 6.7% of indexed frames
18.RG,1,0.3638996138996139,uncertain_alignment,0.3638996138996139,0.3223938223938224,0.052123552123552123,0.6438223938223938,0.0,0.12992557247127398,0.0,0.17792361714954175,0.15384853300058815,ET tube visible in 36.4% of indexed frames | vocal cords visible but tube does not clearly approach them | epiglottis visible in 5.2% of indexed frames | esophagus visible in 64.4% of indexed frames
